,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",5720790,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,"Save Your Tears","The Weeknd",4197885,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
3,"Blinding Lights","The Weeknd",3577859,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,DÁKITI,"Bad Bunny",3461366,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
5,"Calling My Phone","Lil Tjay",3294486,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
6,"Astronaut In The Ocean","Masked Wolf",2893012,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,Bandido,"Myke Towers",2824911,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
8,"Mood (feat. iann dior)",24kGoldn,2746425,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
9,"WITHOUT YOU","The Kid LAROI",2691039,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
10,"The Business",Tiësto,2682606,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
11,Streets,"Doja Cat",2521077,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
12,"LA NOCHE DE ANOCHE","Bad Bunny",2520146,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
13,"Good Days",SZA,2337369,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
14,telepatía,"Kali Uchis",2314656,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
15,Whoopty,CJ,2307947,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
16,Up,"Cardi B",2263121,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
17,"Levitating (feat. DaBaby)","Dua Lipa",2246865,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
18,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2202749,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
19,positions,"Ariana Grande",2185896,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
20,Dynamite,BTS,2146019,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
21,34+35,"Ariana Grande",2119117,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
22,BICHOTA,"KAROL G",2106277,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
23,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1999600,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
24,"HEARTBREAK ANNIVERSARY",Giveon,1951296,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
25,"Hecha Pa' Mi",Boza,1912348,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
26,"We're Good","Dua Lipa",1887095,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
27,"Paradise (feat. Dermot Kennedy)",MEDUZA,1875650,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
28,Anyone,"Justin Bieber",1861145,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
29,"you broke me first","Tate McRae",1811987,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
30,"Someone You Loved","Lewis Capaldi",1800077,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
31,"What You Know Bout Love","Pop Smoke",1734154,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
32,"Goosebumps - Remix","Travis Scott",1715185,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
33,"Heat Waves","Glass Animals",1697926,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
34,"Therefore I Am","Billie Eilish",1687894,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
35,"Head & Heart (feat. MNEK)","Joel Corry",1686610,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
36,"Ella No Es Tuya - Remix","Rochy RD",1675248,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
37,"Watermelon Sugar","Harry Styles",1673668,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
38,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1626997,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
39,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1618021,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
40,"GIRL LIKE ME","Black Eyed Peas",1534561,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
41,"Your Love (9PM)",ATB,1515685,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
42,"Sweater Weather","The Neighbourhood",1505355,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
43,Hawái,Maluma,1484447,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
44,Arcade,"Duncan Laurence",1483485,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
45,"Dance Monkey","Tones And I",1473099,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
